id,best,cand1,cand2,cand3,cand4
10371,4,4,4,4,4
10810,5,5,5,5,5
10581,5,5,5,5,5
10900,5,5,5,5,5
10049,4,4,4,4,4
10708,5,5,5,5,5
10904,5,5,5,5,5
10490,4,4,4,4,4
10327,5,5,5,5,5
10879,5,5,5,5,5
10521,4,4,4,4,4
10925,3,3,3,4,3
10968,4,4,4,4,4
10365,4,4,4,4,4
10936,4,4,4,4,4
10033,3,3,3,4,4
10031,4,4,4,4,4
10823,3,3,3,3,3
10192,5,5,5,5,5
10312,4,4,4,4,4
10807,3,3,3,4,4
10552,5,5,5,5,5
10558,3,3,3,3,3
10921,4,4,6,4,4
10109,5,5,5,5,5
10440,4,4,4,4,4
10077,5,5,5,5,5
10783,4,4,4,4,4
10542,4,4,6,6,6
10082,5,3,5,3,5
10361,4,4,4,4,4
10485,4,4,4,4,4
10507,5,5,5,5,5
10628,5,5,5,5,5
10500,5,5,5,5,5
10905,4,4,4,4,4
10002,4,4,4,4,4
10101,5,5,5,5,5
10363,6,1,6,1,6
10451,3,3,3,3,3
10286,4,4,4,4,4
10208,5,5,5,5,5
10265,4,6,4,4,4
10005,5,5,5,5,5
10054,5,5,5,5,5
10715,5,5,5,5,5
10848,3,3,3,3,3
10971,5,5,5,5,5
10436,4,4,4,4,4
10097,4,4,4,4,4
10589,5,5,5,5,5
10204,4,4,4,4,4
10244,5,5,5,5,5
10620,5,5,5,5,5
10934,5,5,5,5,5
10519,4,4,4,4,4
10334,3,3,3,3,3
10845,4,5,5,5,5
10025,5,5,5,5,5
10084,4,4,4,4,4
10010,4,3,3,3,3
10635,4,4,4,4,4
10422,5,5,5,5,5
10795,5,5,5,5,5
10357,5,5,5,5,5
10802,5,5,5,5,5
10529,3,3,3,3,3
10468,4,4,4,4,4
10247,3,3,3,3,3
10118,5,5,5,5,5
10342,5,5,5,5,5
10541,4,4,4,4,4
10250,3,3,3,3,3
10318,4,4,4,4,4
10843,4,4,4,4,4
10196,4,4,4,4,4
10588,4,4,4,4,4
10081,5,5,5,5,5
10352,3,3,3,3,3
10583,5,5,5,5,5
10603,4,4,4,4,4
10239,4,4,4,4,4
10761,4,4,4,4,4
10211,3,5,5,5,5
10930,3,4,4,3,4
10963,3,3,4,3,4
10420,3,3,3,4,4
10227,3,3,3,3,3
10833,4,4,4,4,4
10752,4,4,4,4,4
10907,5,5,5,5,5
10743,4,4,4,4,4
10380,4,4,4,4,4
10478,4,4,4,4,4
10439,4,4,4,4,4
10296,4,4,4,4,4
10344,5,5,5,5,5
10007,5,5,5,5,5
10155,5,5,5,5,5
10526,5,5,5,5,5
10411,4,4,4,4,4
10513,4,4,4,4,4
10837,4,6,4,5,4
10758,4,4,4,4,4
10551,5,5,5,5,5
10433,4,4,4,4,4
10893,5,5,5,5,5
10909,3,3,3,3,3
10889,3,3,3,3,3
10613,4,4,4,4,4
